Symbol,Date,Open,High,Low,Close,Volume
SG6I.IDX,16-Feb-2017,376.43,379.51,367.04,367.77,0
SG6J.IDX,16-Feb-2017,179.72,181.51,177.71,179.52,0
SG7A.IDX,16-Feb-2017,19.41,19.67,19.14,19.15,0
SG7B.IDX,16-Feb-2017,139.84,141.67,137.86,137.96,0
SG7C.IDX,16-Feb-2017,372.89,373.19,370.37,370.62,0
SG7D.IDX,16-Feb-2017,201.6,201.75,200.22,200.36,0
SG7E.IDX,16-Feb-2017,2090.39,2092,2076.13,2077.58,0
SG7F.IDX,16-Feb-2017,386.86,388.73,384.55,386.51,0
SG7G.IDX,16-Feb-2017,322.31,323.87,320.39,322.02,0
SG7H.IDX,16-Feb-2017,3343.3,3359.52,3323.39,3340.35,0
SG7I.IDX,16-Feb-2017,171.54,172.48,170.39,170.67,0
SG7J.IDX,16-Feb-2017,103.79,105.14,102.32,102.39,0
SG8A.IDX,16-Feb-2017,142.19,143.36,138.87,139.1,0
SG8B.IDX,16-Feb-2017,13.08,13.19,12.78,12.8,0
SG8C.IDX,16-Feb-2017,23.49,23.69,22.95,22.98,0
SG8D.IDX,16-Feb-2017,175.25,177.51,174.04,177.51,0
SG8E.IDX,16-Feb-2017,149.84,151.77,148.81,151.77,0
SG8F.IDX,16-Feb-2017,277.24,280.81,275.33,280.81,0
SG8G.IDX,16-Feb-2017,180.65,180.8,179.2,179.29,0
SG8H.IDX,16-Feb-2017,338.06,338.36,335.39,335.53,0
SG8I.IDX,16-Feb-2017,1873.29,1874.78,1858.28,1859.12,0
SG8J.IDX,16-Feb-2017,1778.88,1788.66,1766.98,1769.82,0
SG9A.IDX,16-Feb-2017,55.97,56.19,55.52,55.73,0
SG9B.IDX,16-Feb-2017,90.89,91.23,90.15,90.49,0
SG9C.IDX,16-Feb-2017,410.01,411.59,406.88,408.48,0
SG9D.IDX,16-Feb-2017,358.6,359.97,355.83,357.26,0
SG9E.IDX,16-Feb-2017,3687.41,3701.53,3658.95,3673.58,0
SG9F.IDX,16-Feb-2017,170.81,171.42,169.44,169.98,0
SG9G.IDX,16-Feb-2017,77.02,77.29,76.4,76.65,0
SG9H.IDX,16-Feb-2017,637.73,640,632.57,634.63,0
SG9I.IDX,16-Feb-2017,196.39,197.91,194.31,196.3,0
SG9J.IDX,16-Feb-2017,198.11,198.88,196.52,197.26,0
SGAA.IDX,16-Feb-2017,1718.65,1721.23,1707.68,1709.22,0
SGAB.IDX,16-Feb-2017,1934.72,1935.41,1909.26,1910.76,0
SGAC.IDX,16-Feb-2017,4256.44,4268.58,4244.17,4249.15,0
SGAD.IDX,16-Feb-2017,4790.2,4798.14,4744.89,4750.18,0
SGCC.IDX,16-Feb-2017,234.23,235.07,232.49,233.21,0
SGCR.IDX,16-Feb-2017,137.01,137.65,135.87,136.43,0
SGDO.IDX,16-Feb-2017,138.98,139.28,138.62,139.28,0
SGIA.IDX,16-Feb-2017,216.91,217.6,214.55,214.73,0
SGIB.IDX,16-Feb-2017,549.49,551.69,548.74,550.28,0
SGID.IDX,16-Feb-2017,510.84,513.76,509.47,511.11,0
SGIF.IDX,16-Feb-2017,196.65,198.25,195.95,196.94,0
SGIR.IDX,16-Feb-2017,125.32,125.84,124.26,124.77,0
SGJ.IDX,16-Feb-2017,183.98,185.27,182.06,183.56,0
SGK.IDX,16-Feb-2017,317.23,318.35,313.49,313.76,0
SGLN.IDX,16-Feb-2017,246.11,246.11,242.63,243.57,0
SGLS.IDX,16-Feb-2017,219.36,219.36,216.26,217.1,0
SGMA.IDX,16-Feb-2017,187.42,188.21,185.84,186.6,0
SGME.IDX,16-Feb-2017,1473.64,1473.78,1461.48,1462.8,0
SGMU.IDX,16-Feb-2017,1059.17,1065.66,1059.17,1061.06,0
SGON.IDX,16-Feb-2017,365.44,366.73,364.99,366.73,0
SGP.IDX,16-Feb-2017,1637.16,1651.3,1637.16,1648.32,0
SGPA.IDX,16-Feb-2017,213.81,214.81,212.03,212.9,0
SGPG.IDX,16-Feb-2017,155.01,155.36,153.42,153.49,0
SGPP.IDX,16-Feb-2017,66.24,66.48,65.75,65.95,0
SGPR.IDX,16-Feb-2017,60.1,60.24,59.49,59.51,0
SGPT.IDX,16-Feb-2017,113.84,114.25,112.99,113.34,0
SGQA.IDX,16-Feb-2017,894.7,901.6,885.1,894.27,0
SGQB.IDX,16-Feb-2017,198.35,199.87,196.24,198.14,0
SGQC.IDX,16-Feb-2017,254.22,256.17,251.49,253.96,0
SGQD.IDX,16-Feb-2017,949.14,956.45,938.97,948.17,0
SGQE.IDX,16-Feb-2017,170.04,171.37,169.9,171.06,0
SGQF.IDX,16-Feb-2017,1515.12,1527.01,1513.93,1524.25,0
SGQG.IDX,16-Feb-2017,390.48,391.32,388.04,388.43,0
SGQH.IDX,16-Feb-2017,215.5,215.95,214.13,214.35,0
SGQI.IDX,16-Feb-2017,2234.46,2239.12,2220.26,2222.61,0
SGQJ.IDX,16-Feb-2017,239.63,241.48,237.06,239.52,0
SGRC.IDX,16-Feb-2017,124.96,125.36,123.34,123.67,0
SGRE.IDX,16-Feb-2017,100.52,100.84,99.22,99.48,0
SGRG.IDX,16-Feb-2017,35.05,35.13,34.69,34.71,0
SGRM.IDX,16-Feb-2017,129.72,130.57,129.57,130.19,0
SGRT.IDX,16-Feb-2017,107.7,107.74,105.92,105.98,0
SGSA.IDX,16-Feb-2017,880.51,888.91,879.15,886.03,0
SGSB.IDX,16-Feb-2017,69.63,70.3,69.53,70.07,0
SGSC.IDX,16-Feb-2017,620.72,626.64,619.75,624.61,0
SGSD.IDX,16-Feb-2017,425.5,426.1,418.36,418.75,0
SGSE.IDX,16-Feb-2017,232.19,233.02,230.47,231.18,0
SGSF.IDX,16-Feb-2017,457.96,458.6,450.27,450.7,0
SGSG.IDX,16-Feb-2017,4752.15,4758.8,4672.34,4676.77,0
SGSH.IDX,16-Feb-2017,215.05,215.78,211.05,213.68,0
SGSJ.IDX,16-Feb-2017,17.35,17.41,17.03,17.24,0
SGSK.IDX,16-Feb-2017,154.7,155.23,151.82,153.72,0
SGSM.IDX,16-Feb-2017,192.22,192.32,190.81,190.92,0
SGSN.IDX,16-Feb-2017,1993.19,1994.24,1978.6,1979.77,0
SGSO.IDX,16-Feb-2017,375.15,376.83,367.84,370.9,0
SGSP.IDX,16-Feb-2017,929.7,933.86,911.59,919.17,0
SGSQ.IDX,16-Feb-2017,2364.62,2375.6,2318.43,2337.85,0
SGSR.IDX,16-Feb-2017,317.72,323.66,311.28,312.97,0
SGSS.IDX,16-Feb-2017,8.49,8.65,8.32,8.36,0
SGST.IDX,16-Feb-2017,88.17,89.82,86.38,86.85,0
SGSU.IDX,16-Feb-2017,225.86,228.85,223.14,224.85,0
SGSV.IDX,16-Feb-2017,66.8,67.69,65.99,66.51,0
SGSW.IDX,16-Feb-2017,135.26,137.05,133.61,134.66,0
SGSX.IDX,16-Feb-2017,357.56,357.77,354.97,355.18,0
SGT.IDX,16-Feb-2017,2407.67,2416.25,2389.64,2397.1,0
SGTR.IDX,16-Feb-2017,234.95,236.02,232.91,233.92,0
SGV.IDX,16-Feb-2017,262.78,264.22,260.95,261.44,0
SGWN.IDX,16-Feb-2017,2199.22,2204.96,2180.57,2182.23,0
SGWP.IDX,16-Feb-2017,1943.33,1948.15,1926.8,1928.19,0
SGWT.IDX,16-Feb-2017,157.14,157.37,155.78,155.88,0
SGX.IDX,16-Feb-2017,405.47,406.93,402.46,403.7,0
SGY.IDX,16-Feb-2017,335.11,336.67,330.34,332.12,0
SHEP.IDX,16-Feb-2017,326.69,326.9,324.49,325.06,0
SHEU.IDX,16-Feb-2017,411.95,412.23,409.18,409.91,0
SHTR.IDX,16-Feb-2017,1013.53,1013.94,1005.84,1013.94,0
SHUS.IDX,16-Feb-2017,680.09,680.81,676.07,678.2,0
SIDO.IDX,16-Feb-2017,2013.79,2016.48,2006.53,2015.72,0
SIFD.IDX,16-Feb-2017,85.5,85.5,43.47,71.01,0
SIFI.IDX,16-Feb-2017,86.95,88.4,81.15,85.5,0
SIII.IDX,16-Feb-2017,1318,1334.94,1318,1332.26,0
SIIP.IDX,16-Feb-2017,94.96,94.96,94.39,94.44,0
SIIS.IDX,16-Feb-2017,100.54,100.54,99.93,99.99,0
SIIT.IDX,16-Feb-2017,111.86,111.86,111.19,111.25,0
SIN.IDX,16-Feb-2017,270,270.01,266.66,267.32,0
SIOF.IDX,16-Feb-2017,85.5,86.95,84.05,86.95,0
SIOH.IDX,16-Feb-2017,84.05,84.05,82.6,82.6,0
SIPR.IDX,16-Feb-2017,991.42,998.16,990.75,993.58,0
SIRI.IDX,16-Feb-2017,158.71,158.71,158.33,158.33,0
SIRP.IDX,16-Feb-2017,111.7,111.94,111.4,111.87,0
SIS.IDX,16-Feb-2017,171.98,172.41,171.24,172.41,0
SITH.IDX,16-Feb-2017,82.6,82.6,81.15,81.15,0
SITR.IDX,16-Feb-2017,513.66,516.55,512.9,516.45,0
SITW.IDX,16-Feb-2017,91.3,91.3,82.6,89.85,0
SIUT.IDX,16-Feb-2017,31.98,32.25,31.92,32.03,0
SIV.IDX,16-Feb-2017,18.21,18.28,17.12,17.2,0
SJPA.IDX,16-Feb-2017,1414.25,1415.67,1404.68,1411.42,0
SJPB.IDX,16-Feb-2017,1653.18,1655.53,1641.96,1649.76,0
SJPC.IDX,16-Feb-2017,2665.98,2672.2,2651.76,2666.74,0
SJPD.IDX,16-Feb-2017,1272.75,1273.78,1263.83,1269.68,0
SJPE.IDX,16-Feb-2017,1206.28,1208.44,1202.73,1206.24,0
SJRI.IDX,16-Feb-2017,2618.07,2621.44,2599.43,2616.08,0
SJTR.IDX,16-Feb-2017,936.77,940.95,934.56,940.38,0
SKFD.IDX,16-Feb-2017,82.19,82.19,61.64,65.75,0
SKFI.IDX,16-Feb-2017,78.08,78.08,75.34,78.08,0
SKOF.IDX,16-Feb-2017,87.67,89.04,84.93,84.93,0
SKOH.IDX,16-Feb-2017,89.04,89.04,89.04,89.04,0
SKTH.IDX,16-Feb-2017,89.04,89.04,89.04,89.04,0
SKTR.IDX,16-Feb-2017,538.45,541.33,536.58,538.15,0
SKTW.IDX,16-Feb-2017,78.08,78.08,72.6,75.34,0
